CVE_ENT,EDO,sat_water,sat_light,sat_waste,sat_police,sat_streets,sat_parks
1,Aguascalientes, 44.4, 61.1, 77.1, 36.5, 31.2, 54.3
2,Baja California, 65.9, 33.0, 75.2, 26.9, 20.0, 37.3
3,Baja California Sur, 54.8, 29.8, 59.2, 37.5, 16.9, 46.5
4,Campeche, 53.0, 33.3, 80.0, 26.6, 33.7, 43.3
5,Coahuila, 61.9, 56.7, 82.6, 35.7, 44.5, 60.4
6,Colima, 64.7, 41.8, 72.5, 28.5, 29.5, 44.6
7,Chiapas, 43.7, 34.3, 71.9, 21.1, 23.7, 39.8
8,Chihuahua, 63.4, 42.8, 64.4, 33.8, 19.6, 40.4
9,CDMX, 47.8, 40.0, 75.1, 23.0, 21.2, 37.8
10,Durango, 59.1, 50.7, 84.6, 29.2, 30.0, 54.1
11,Guanajuato, 74.3, 53.1, 83.6, 26.3, 45.8, 47.9
12,Guerrero, 16.6, 25.0, 27.6, 14.2, 15.1, 31.7
13,Hidalgo, 56.1, 38.7, 68.1, 23.6, 16.1, 43.4
14,Jalisco, 57.3, 36.3, 70.8, 19.4, 23.6, 36.9
15,EdoMex, 44.2, 33.4, 57.6, 18.6, 18.0, 32.4
16,Michoacan, 54.9, 39.5, 56.0, 19.7, 19.2, 41.4
17,Morelos, 54.2, 36.3, 77.5, 17.5, 19.6, 33.6
18,Nayarit, 62.4, 33.2, 83.6, 39.8, 31.0, 47.8
19,Nuevo Leon, 77.9, 56.2, 92.7, 42.2, 38.6, 53.7
20,Oaxaca, 33.9, 34.1, 47.5, 22.1, 18.3, 39.4
21,Puebla, 45.9, 37.9, 69.6, 18.6, 17.8, 33.5
22,Queretaro, 72.7, 59.2, 84.6, 34.2, 37.1, 55.3
23,Quintana Roo, 50.3, 29.9, 56.0, 16.9, 21.4, 36.0
24,San Luis Potosi, 40.4, 36.2, 68.3, 19.3, 18.5, 38.0
25,Sinaloa, 61.8, 44.8, 72.3, 28.7, 35.9, 48.2
26,Sonora, 60.6, 41.3, 79.8, 24.9, 21.0, 35.7
27,Tabasco, 19.0, 27.3, 75.4, 16.6, 19.0, 29.1
28,Tamaulipas, 43.8, 40.3, 67.1, 24.1, 27.2, 42.5
29,Tlaxcala, 56.5, 30.1, 58.8, 23.8, 21.1, 39.8
30,Veracruz, 46.9, 40.5, 72.4, 30.1, 29.3, 46.5
31,Yucatan, 68.8, 43.7, 66.6, 45.2, 42.6, 60.9
32,Zacatecas, 41.8, 39.9, 70.5, 16.7, 24.4, 33.6
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,